PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2014-04-02 07:12:02,mhladika,1,1,Mhladika-HPLJ400 M401dn,"Microsoft Outlook - Stil dopisa",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,87kb,
2014-04-02 07:17:33,mhladika,1,1,Mhladika-HPLJ400 M401dn,"Microsoft Outlook - Stil dopisa",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,186kb,
2014-04-02 07:17:42,mhladika,2,1,Mhladika-HPLJ400 M401dn,"Microsoft Outlook - Stil dopisa",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,167kb,
2014-04-02 07:19:19,mhladika,1,1,Mhladika-HPLJ400 M401dn,"Microsoft Word - Usmeni ispit iz UR_02.04.2014",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,53kb,
2014-04-02 07:21:13,mhladika,1,1,Mhladika-HPLJ400 M401dn,"IV-14  Komisijski ispit_travanj 2014 xlsx final.xlsx",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,79kb,
2014-04-02 07:23:27,mmicin,1,1,Hpercevic-HPLJ400 M401dn,"Microsoft Word - konzultacije",M-MICIN,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,39kb,
2014-04-02 07:24:48,mhladika,1,1,Mhladika-HPLJ400 M401dn,"Microsoft Word - Poduzetnièko raèunovodstvo_01.04.2014",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,54kb,
2014-04-02 07:24:54,mhladika,1,1,Mhladika-HPLJ400 M401dn,"Microsoft Word - Poduzetnièko raèunovodstvo_01.04.2014",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,54kb,
2014-04-02 07:25:48,mhladika,2,1,Mhladika-HPLJ400 M401dn,"Microsoft Word - Raè_Gulin_01 04 2014",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,73kb,
2014-04-02 07:33:27,mmicin,3,1,Hpercevic-HPLJ400 M401dn,"Microsoft Word - HP_01042014_RAC samo komisije",M-MICIN,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,80kb,
2014-04-02 07:35:06,mhladika,2,1,Mhladika-HPLJ400 M401dn,"Microsoft Word - UR_grupa A_02.04.2014_rješenje",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,167kb,
2014-04-02 07:35:23,mhladika,2,1,Mhladika-HPLJ400 M401dn,"Microsoft Word - UR_grupa B_02.04.2014_rješenje",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,160kb,
2014-04-02 07:42:53,zhendija,4,1,Jmikulic-HPLJ400 M401dn,"MT 2013_pravi_28  01 2014.xls",z-hendija.efzg.hr,A4,EMF,,,DUPLEX,NOT GRAYSCALE,1306kb,
2014-04-02 07:45:58,zhendija,4,1,Jmikulic-HPLJ400 M401dn,"MT 2013_pravi_28  01 2014.xls",z-hendija.efzg.hr,A4,EMF,,,DUPLEX,NOT GRAYSCALE,1306kb,
2014-04-02 07:48:50,zhendija,4,4,Jmikulic-HPLJ400 M401dn,"MT 2013_pravi_28  01 2014.xls",z-hendija.efzg.hr,A4,EMF,,,DUPLEX,NOT GRAYSCALE,1306kb,
2014-04-02 07:51:28,sbabic,100,1,RefPDS-Canon iR3035,"Microsoft Word - UPUTE ZA PISANJE POSLIJEDIPLOMSKOG SPECIJALISTIÈKOG  RADA.docx",S-BABIC,A4,CANON UFR,,,DUPLEX,NOT GRAYSCALE,47kb,
2014-04-02 07:52:29,sbabic,1,1,RefPDS-Canon iR3035,"Microsoft Word - upute za korištenje oprema.doc",S-BABIC,A4,CANON UFR,,,NOT DUPLEX,NOT GRAYSCALE,36kb,
2014-04-02 07:55:49,sbabic,50,1,RefPDS-Canon iR3035,"Microsoft Word - upute za korištenje oprema.doc",s-babic.efzg.hr,A4,CANON UFR,,,NOT DUPLEX,NOT GRAYSCALE,36kb,
2014-04-02 07:56:13,zhendija,5,1,Jmikulic-HPLJ400 M401dn,"MT 2013_pravi_28  01 2014.xls",Z-HENDIJA,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,1374kb,
2014-04-02 07:59:32,mbrozovic,1,1,Mbrozovic-HPLJ400 M401dn,"Microsoft Word - KUO-MARE",M-BROZOVIC,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,112kb,
2014-04-02 08:00:03,zhendija,1,1,Jmikulic-HPLJ400 M401dn,"prijavljeni za ispit_03 04 2014.xls",Z-HENDIJA,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,806kb,
2014-04-02 08:09:27,mmazar,1,1,UMS-HPCLJ CP2025dn,"Fotografija na cijeloj stranici",M-MAZAR,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,9424kb,
2014-04-02 08:12:52,nnimac,1,1,Nnimac-HPLJ400 M401dn,"preview2817059693606996904.pdf",N-NIMAC,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,70kb,
2014-04-02 08:13:03,nnimac,1,1,Nnimac-HPLJ400 M401dn,"preview244738462447490496.pdf",N-NIMAC,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,94kb,
2014-04-02 08:13:09,isever,3,1,Isever-HPCLJ CP1515n,"Microsoft Word - RASPORED IZLAGANJA SLUÈAJEVA_AN_Tuš_Žuž_objavljeno",I-SEVER,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,1334kb,
